Dose,Response
0,0.0405
0,0.473
0,0.0993
0,8.75
0,0.0943
0,0.169
0,0.00273
0,0.00515
0,16.4
0,0.265
0,0.0113
0,2.02
0,0.539
0,2.44
0,0.0226
0,0.00745
0,21.9
0,2.92
0,0.397
0,6.82
0,0.502
0,0.00391
0,0.0229
0,4.86
0,0.00000256
0,1.94
0,0.0206
0,0.989
0,2
0,0.00939
0,0.259
0,0.0317
0,0.0202
0,3.2
0,0.42
0,4.61
0,1.49
0,9.51
0,0.00183
0,9
0,0.149
0,0.319
0,0.804
0,0.0674
0,0.0288
0,3.41
0,0.524
0,0.00768
0,0.15
0,2.67
0,0.0588
0,0.175
0,0.167
0,2.39
0,0.0108
0,1.66
0,26.3
0,0.00744
0,1.79
0,0.00192
0,0.0139
0,0.369
0,0.00153
0,0.00182
0,21.3
0,0.155
0,24.4
0,4.75
0,0.411
0,8.08
0,4.05
0,0.114
0,0.807
0,0.571
0,0.288
0,1.64
0,11.2
0,0.00000144
0,0.308
0,0.000248
0,1.16
0,0.292
0,0.00149
0,0.514
0,0.368
0,3.96
0,0.856
0,0.116
0,0.315
0,0.0211
0,16.9
0,0.0998
0,5.11
0,0.0016
0,0.00595
0,1.01
0,50.8
0,0.00455
0,0.864
0,2.25
50,1.29
50,36.1
50,0.0721
50,2.55
50,0.882
50,0.508
50,0.292
50,0.0273
50,26.6
50,1.58
50,6.52
50,25
50,0.0881
50,2.97
50,0.0261
50,2.46
50,4.7
50,0.249
50,0.00000445
50,0.214
50,0.0157
50,19.1
50,0.106
50,9.64
50,0.26
50,1.36
50,0.125
50,5.7
50,0.971
50,0.657
50,0.00251
50,0.0606
50,0.0000051
50,0.297
50,1.37
50,0.859
50,0.016
50,0.421
50,0.00857
50,1.81
50,1.66
50,0.0307
50,0.00758
50,12.4
50,0.0000103
50,0.328
50,4.11
50,0.00665
50,14.7
50,5.2
50,0.0539
50,53.9
50,2.44
50,0.122
50,2.56
50,0.000441
50,7.62
50,0.0191
50,0.00333
50,23.7
50,0.536
50,0.0507
50,0.0943
50,0.0001
50,0.0443
50,1.31
50,1.34
50,0.0158
50,0.113
50,0.0241
50,0.0844
50,1.97
50,1.28
50,9.05
50,0.0504
50,2.23
50,1.2
50,3.07
50,0.00211
50,0.00886
50,0.0000217
50,0.0695
50,0.79
50,1.39
50,3.16
50,1.27
50,1.19
50,0.000261
50,0.77
50,1.72
50,0.00132
50,0.00816
50,1.06
50,2.88
50,2.6
50,50.2
50,0.868
50,4.85
50,3.23
50,2.39
100,10
100,23.7
100,39.3
100,12.2
100,18.9
100,23.2
100,26.4
100,9.61
100,24.5
100,30.2
100,8.01
100,5.62
100,31
100,4.2
100,28.3
100,18.4
100,31.8
100,34.5
100,15
100,26.8
100,32.5
100,1.17
100,16.5
100,11.5
100,46.9
100,9.58
100,40.1
100,6.73
100,7.76
100,4.67
100,23.8
100,13.1
100,27
100,42.9
100,26.7
100,22.3
100,24.7
100,29.6
100,12
100,28.5
100,34.2
100,33.1
100,7.62
100,19.8
100,11.6
100,25.8
100,28.1
100,22.7
100,8.48
100,10.4
100,22.5
100,16.3
100,17.4
100,20.3
100,21.5
100,8
100,24.6
100,19.9
100,23.9
100,25
100,13.2
100,12.4
100,20.4
100,21.5
100,42.8
100,9.63
100,41.9
100,17.3
100,18.3
100,22
100,33.6
100,27.1
100,28.2
100,14.1
100,31.3
100,3.99
100,3.76
100,6.77
100,30.6
100,13.4
100,32.1
100,32.3
100,16.5
100,20.6
100,15.1
100,27.1
100,28.1
100,30.7
100,35.7
100,15
100,20.3
100,32.8
100,20
100,18
100,16
100,20.8
100,9.75
100,12.9
100,22.4
100,11.5
150,28.5
150,86.5
150,68.1
150,44.1
150,50.1
150,17.2
150,59.6
150,63.8
150,27.5
150,58.8
150,27.8
150,58.2
150,67.7
150,56
150,42.9
150,81.5
150,74.8
150,16
150,45.5
150,54.8
150,42.6
150,60.6
150,62.3
150,48.5
150,50.1
150,44.9
150,46.5
150,38.2
150,70.2
150,12
150,39.9
150,77.8
150,40.8
150,36.6
150,84.5
150,54.5
150,30.3
150,40.6
150,63.5
150,41.2
150,24.8
150,35.3
150,49.6
150,50.1
150,55
150,28.1
150,65.6
150,39.9
150,38.1
150,48.3
150,28.8
150,53.7
150,34.7
150,57.7
150,48.9
150,81.7
150,56.5
150,67.7
150,68
150,76
150,58.7
150,63.8
150,48.2
150,68.2
150,72.5
150,60.1
150,39.6
150,62.4
150,57.8
150,20.6
150,63.2
150,58.3
150,29
150,36.7
150,32.9
150,29.1
150,51
150,32.5
150,61.2
150,62.7
150,58.8
150,27
150,34.6
150,38.5
150,46.3
150,44.9
150,54.8
150,48
150,89.1
150,86
150,58.3
150,66.7
150,54.8
150,50.7
150,70.4
150,41.2
150,39
150,40
150,39.5
150,30.3
200,93.6
200,77.8
200,89
200,71.9
200,73.2
200,74.2
200,88.1
200,76.9
200,63.5
200,55.6
200,91.7
200,92.5
200,80.2
200,85.4
200,64.6
200,65
200,88
200,84.7
200,82.5
200,82
200,81.4
200,69.5
200,75.7
200,77
200,83.5
200,78.4
200,77.9
200,62.9
200,64.1
200,70.4
200,64
200,83.8
200,51.3
200,85.5
200,74.1
200,74
200,76.5
200,71.2
200,58.2
200,72.7
200,78.9
200,86.1
200,62.9
200,80.6
200,81.1
200,78.9
200,75.6
200,76.6
200,91.4
200,61.5
200,68.6
200,77.9
200,42.8
200,83.6
200,76.3
200,68
200,90.7
200,47.6
200,84.1
200,72.9
200,72.3
200,70.8
200,57.3
200,78
200,67.8
200,74.8
200,79.4
200,79.2
200,83.6
200,51.7
200,90
200,69.2
200,88
200,82.1
200,58.5
200,84
200,73
200,83.4
200,86.5
200,82.6
200,67.6
200,85.6
200,71.2
200,79.4
200,65.3
200,85.4
200,74.6
200,66.9
200,70.9
200,59.3
200,68.7
200,83.7
200,82.9
200,74.1
200,74.3
200,72.7
200,88.5
200,76.7
200,75.8
200,89.2
